,id,Mrs,Ms,Hc,Xhf,Q,Qeff,Hcr,site,hole,core,section,interval,top [cm],bottom [cm],lithology principal name,top depth csf-a (m)
52,U1450A011F1030,1.3412172960493761e-06,4.795479535045469e-06,0.00859073671942856,3.023805679359476e-05,5.558815704094921,4.1122722645513266,0.055004674226211844,U1450,A,11,1,3,0,5,clay,
53,U1450A011F2095,1.1039653130745937e-06,5.565212911430658e-06,0.009358233314112896,2.750088675119626e-05,5.500737356126883,4.33948960140215,0.045923303783084776,U1450,A,11,2,9,0,121,sand,
54,U1450A011F2095,1.1039653130745937e-06,5.565212911430658e-06,0.009358233314112896,2.750088675119626e-05,5.500737356126883,4.33948960140215,0.045923303783084776,U1450,A,11,2,9,0,121,sand,
55,U1450A014F1130,5.764587219972966e-07,1.3956456071625735e-05,0.003128006495776603,1.3339566489055147e-05,5.355497728931564,4.953006015847137,0.022955713021011688,U1450,A,14,1,13,0,42,sand,
56,U1450A014F1130,5.764587219972966e-07,1.3956456071625735e-05,0.003128006495776603,1.3339566489055147e-05,5.355497728931564,4.953006015847137,0.022955713021011688,U1450,A,14,1,13,0,42,sand,
57,U1450A014F3077,4.999518725254966e-08,3.6683015821184204e-07,0.00636911227279191,6.930324087063712e-06,4.166007926052139,2.059866287550592,0.03401780791619228,U1450,A,14,3,7,0,11,clay,
58,U1450A014F3077,4.999518725254966e-08,3.6683015821184204e-07,0.00636911227279191,6.930324087063712e-06,4.166007926052139,2.059866287550592,0.03401780791619228,U1450,A,14,3,7,0,11,,
59,U1450A014F3077,4.999518725254966e-08,3.6683015821184204e-07,0.00636911227279191,6.930324087063712e-06,4.166007926052139,2.059866287550592,0.03401780791619228,U1450,A,14,3,7,0,11,clay,
60,U1450A014F3077,4.999518725254966e-08,3.6683015821184204e-07,0.00636911227279191,6.930324087063712e-06,4.166007926052139,2.059866287550592,0.03401780791619228,U1450,A,14,3,7,0,11,,
61,U1450A017F2050,2.020843954740811e-06,1.4458454271058195e-05,0.007373956221155442,1.8878107599541162e-05,5.44608520938208,4.772716725236259,0.04944861881909776,U1450,A,17,2,5,0,28,clay,
62,U1450A017F2050,2.020843954740811e-06,1.4458454271058195e-05,0.007373956221155442,1.8878107599541162e-05,5.44608520938208,4.772716725236259,0.04944861881909776,U1450,A,17,2,5,0,28,clay,
63,U1450A020F2070,0.0001965899164534621,0.000503125086268847,0.03394454512116386,0.0009543482856714306,6.421355792166025,5.783586154560661,0.051906838553037286,U1450,A,20,2,7,0,35,clay,98.0
64,U1450A020F2097,3.7550172909396034e-06,1.3622207206969792e-05,0.015481193044597163,1.9273328572326177e-05,5.29152256073057,4.833345897501175,0.05714463900882008,U1450,A,20,2,9,0,35,clay,
65,U1450A020F3039,0.038720869222208396,0.1227299507273929,0.02685991734831489,0.8287821500312847,6.191363267787223,4.732853707145201,0.002503240413613955,U1450,A,20,3,3,0,22,clay,98.81
66,U1450A020F3039,4.384472468597149e-05,0.00013818946976873502,0.019495373045533948,0.0009426387625257016,6.221056437753429,4.664395131162016,0.002503240413613955,U1450,A,20,3,3,0,22,clay,98.81
67,U1450A027F1122,0.02175802466771516,0.09696582579289903,0.022979489438435,0.8448718957774862,6.190030240663165,4.414324125518297,0.05032384554698803,U1450,A,27,1,12,0,28,clay,129.42
68,U1450A027F1122,0.02175802466771516,0.09696582579289903,0.022979489438435,0.8448718957774862,6.190030240663165,4.414324125518297,0.05032384554698803,U1450,A,27,1,12,0,28,clay,129.42
69,U1450A028F1144,1.4684277165793754e-06,2.8744861704058505e-05,0.0029688330847605915,1.28602699535309e-05,4.269768751190437,4.07106791895189,0.010703592023333566,U1450,A,28,1,14,0,65,sand,
70,U1450A030F1100,5.665934028389127e-07,1.0137863446734975e-05,0.003289052171210005,1.7721339763753755e-05,5.001949526658502,4.353092463483954,0.011754571084090129,U1450,A,30,1,10,0,141,sand,
71,U1450A032F1008,1.6023580762584578e-06,6.332253119932701e-06,0.01637159670694377,2.309532793999698e-05,5.500341053370485,4.515976446135277,0.05882996051352275,U1450,A,32,1,0,0,44,clay,
72,U1450A034F3022,0.0037950637006728557,0.03590701668071228,0.019774335183034463,0.8477978876377432,6.1062614459993565,3.521891242600228,,U1450,A,34,3,2,0,120,calcareous clay,164.62
73,U1450A042F2015,9.648930514885421e-05,0.0001960289085262603,0.02893079683712807,0.0010647557855550229,6.172744736694348,4.998460583084129,0.05551380321178898,U1450,A,42,2,1,0,4,silt,201.0
